issuer,gold,source,pred_class,pred_binary,correct,sectors,blue,level0,anchor,confidence,pdf
ARKO,GSS,gold,social,GSS,True,employment_msme,,,rencana penggunaan dana,0.59,20230809_ARKO_Penyampaian Bukti Iklan.pdf
BBNI,GSS,gold,sustainability,GSS,True,renewable_energy|energy_efficiency|sustainable_transport|water_management|natural_resources|climate_resilience|employment_msme,,,rencana penggunaan dana,0.95,20220622_BBNI_Penyampaian Bukti Iklan.pdf
BBNI,GSS,gold,obligasi_biasa,NonGSS,False,,,,rencana penggunaan dana,0.65,20250626_BBNI_Penyampaian Bukti Iklan_31909229_lamp1.pdf
BBRI,GSS,gold,sustainability,GSS,True,waste_management|employment_msme,,,(anchor tidak ditemukan),0.73,20220721_BBRI_Penyampaian Prospektus_Informasi Tambahan.pdf
BBRI,GSS,gold,social,GSS,True,employment_msme,,,rencana penggunaan dana,0.61,20230925_BBRI_Penyampaian Prospektus_Informasi Tambahan_31422829_lamp1.pdf
BBRI,GSS,gold,sustainability,GSS,True,renewable_energy|employment_msme,,,rencana penggunaan dana,0.75,20240226_BBRI_Penyampaian Prospektus_Informasi Tambahan_31581036_lamp1.pdf
BBRI,GSS,gold,sustainability_linked,GSS,True,basic_infrastructure|employment_msme|food_security|socioeconomic,,sustainability linked,rencana penggunaan dana,0.9,20250620_BBRI_Penyampaian Prospektus_Informasi Tambahan.pdf
BBRI,GSS,gold,sustainability_linked,GSS,True,basic_infrastructure|employment_msme|food_security|socioeconomic,,sustainability linked,rencana penggunaan dana,0.9,20260227_BBRI_Penyampaian Prospektus_Informasi Tambahan_32029855_lamp2.pdf
BBTN,GSS,gold,social,GSS,True,basic_infrastructure|employment_msme,,,rencana penggunaan dana,0.77,20251121_BBTN_Penyampaian Prospektus_Informasi Tambahan_31986864_lamp1.pdf
BBTN,GSS,gold,social,GSS,True,basic_infrastructure|employment_msme,,,rencana penggunaan dana,0.77,20251124_BBTN_Penyampaian Bukti Iklan_31987186_lamp1.pdf
BBTN,GSS,gold,social,GSS,True,basic_infrastructure|employment_msme,,,rencana penggunaan dana,0.77,20251205_BBTN_Penyampaian Bukti Iklan_32000649_lamp1.pdf
BJBR,GSS,gold,social,GSS,True,employment_msme,,,rencana penggunaan dana,0.59,20241204_BJBR_Penyampaian Bukti Iklan_31804995_lamp2.pdf
BMRI,GSS,gold,social,GSS,True,employment_msme,,,rencana penggunaan dana,0.59,20250304_BMRI_Penyampaian Prospektus_Informasi Tambahan_31866147_lamp1.pdf
BRIS,GSS,gold,sustainability,GSS,True,renewable_energy|energy_efficiency|sustainable_transport|water_management|natural_resources|climate_resilience|basic_infrastructure|employment_msme|food_security|socioeconomic,,,rencana penggunaan dana,0.95,20250528_BRIS_Penyampaian Prospektus_Informasi Tambahan_31890157_lamp2.pdf
BRIS,GSS,gold,sustainability,GSS,True,renewable_energy|energy_efficiency|sustainable_transport|water_management|natural_resources|climate_resilience|basic_infrastructure|employment_msme|food_security|socioeconomic,,,rencana penggunaan dana,0.95,20250618_BRIS_Penyampaian Prospektus_Informasi Tambahan_31896250_lamp2.pdf
OPPM,GSS,gold,sustainability,GSS,True,renewable_energy|employment_msme,,,rencana penggunaan dana,0.75,20230915_OPPM_Penyampaian Bukti Iklan_31410745_lamp2.pdf
OPPM,GSS,gold,sustainability,GSS,True,renewable_energy|employment_msme,,,rencana penggunaan dana,0.75,20230929_OPPM_Penyampaian Bukti Iklan_31423658_lamp2.pdf
PNMP,GSS,gold,social,GSS,True,employment_msme,,,rencana penggunaan dana,0.59,20250926_PNMP_Penyampaian Prospektus_Informasi Tambahan_31952663_lamp1.pdf
PNMP,GSS,gold,obligasi_biasa,NonGSS,False,,,,(anchor tidak ditemukan),0.35,20251013_PNMP_Penyampaian Prospektus_Informasi Tambahan_31967162_lamp2.pdf
PNMP,GSS,gold,social,GSS,True,employment_msme,,,rencana penggunaan dana,0.59,20251215_PNMP_Penyampaian Prospektus_Informasi Tambahan_32013124_lamp2.pdf
PNMP,GSS,gold,social,GSS,True,employment_msme,,,rencana penggunaan dana,0.59,20260311_PNMP_Penyampaian Prospektus_Informasi Tambahan_32053316_lamp1.pdf
PNMP,GSS,gold,obligasi_biasa,NonGSS,False,,,,(anchor tidak ditemukan),0.35,20260402_PNMP_Penyampaian Prospektus_Informasi Tambahan_32057366_lamp2.pdf
