issuer,folder,pdf_filename,title_gss,ml_pred,ml_class,confidence,top_env,top_soc,needs_review,sector_keys,framing_body,framing_title,pdf_full_path
LUCY,20240103_LUCY_Penyampaian Prospektus,20240103_LUCY_Penyampaian Prospektus_Informasi Tambahan_31564018_lamp1.pdf,None,NonGSS,obligasi_biasa,0.8500,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240103_LUCY_Penyampaian Prospektus\20240103_LUCY_Penyampaian Prospektus_Informasi Tambahan_31564018_lamp1.pdf
PYFA,20240111_PYFA_Prospektus Ringkas atas Pe_4de2fc,20240111_PYFA_Laporan Informasi dan Fakta Material_31567987_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8500,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240111_PYFA_Prospektus Ringkas atas Pe_4de2fc\20240111_PYFA_Laporan Informasi dan Fakta Material_31567987_lamp1.pdf
MAYA,20240112_MAYA_Penyampaian Prospektus,20240112_MAYA_Penyampaian Prospektus_Informasi Tambahan_31568335_lamp1.pdf,None,NonGSS,obligasi_biasa,0.7800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240112_MAYA_Penyampaian Prospektus\20240112_MAYA_Penyampaian Prospektus_Informasi Tambahan_31568335_lamp1.pdf
PALM,20240115_PALM_Prospektus Ringkas terkait_976acd,20240115_PALM_Laporan Informasi dan Fakta Material_31568638_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240115_PALM_Prospektus Ringkas terkait_976acd\20240115_PALM_Laporan Informasi dan Fakta Material_31568638_lamp1.pdf
PALM,20240115_PALM_Prospektus Ringkas terkait_976acd,20240115_PALM_Laporan Informasi dan Fakta Material_31568638_lamp2.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240115_PALM_Prospektus Ringkas terkait_976acd\20240115_PALM_Laporan Informasi dan Fakta Material_31568638_lamp2.pdf
BFIN,20240122_BFIN_Penyampaian Prospektus,20240822_BFIN_Penyampaian Prospektus_Informasi Tambahan_31707617_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240122_BFIN_Penyampaian Prospektus\20240822_BFIN_Penyampaian Prospektus_Informasi Tambahan_31707617_lamp1.pdf
WIKA,20240123_WIKA_Prospektus Ringkas Penawar_72717d,20240123_WIKA_Laporan Informasi dan Fakta Material_31571064_lamp1.pdf,False,NonGSS,obligasi_biasa,0.8800,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240123_WIKA_Prospektus Ringkas Penawar_72717d\20240123_WIKA_Laporan Informasi dan Fakta Material_31571064_lamp1.pdf
FREN,20240124_FREN_Prospektus Ringkas Penamba_f1e6d0,20240124_FREN_Laporan Informasi dan Fakta Material_31571389_lamp1.pdf,None,NonGSS,obligasi_biasa,0.7400,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240124_FREN_Prospektus Ringkas Penamba_f1e6d0\20240124_FREN_Laporan Informasi dan Fakta Material_31571389_lamp1.pdf
FREN,20240124_FREN_Prospektus Ringkas Penamba_f1e6d0,20240124_FREN_Laporan Informasi dan Fakta Material_31571419_lamp1.pdf,None,NonGSS,obligasi_biasa,0.7400,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240124_FREN_Prospektus Ringkas Penamba_f1e6d0\20240124_FREN_Laporan Informasi dan Fakta Material_31571419_lamp1.pdf
FREN,20240125_FREN_Prospektus Ringkas Penamba_f83e7d,20240125_FREN_Laporan Informasi dan Fakta Material_31571526_lamp1.pdf,None,NonGSS,obligasi_biasa,0.7700,,,False,,,,D:\1. Important\Work\Bank Indonesia\DSta-DSMF\Green Bond Classification\data\pdf_by_content\01_prospektus_utama\20240125_FREN_Prospektus Ringkas Penamba_f83e7d\20240125_FREN_Laporan Informasi dan Fakta Material_31571526_lamp1.pdf
