issuer,gold,pred_rule,pred_ml,rule_class,ml_class,ml_title_gss,ml_framing_body,ml_framing_title,ml_thresh,ml_top_env,ml_top_soc,ml_maxscore,ml_conf,pdf
ARKO,GSS,NonGSS,GSS,obligasi_biasa,green,True,berwawasan lingkungan|green bond,Obligasi Berwawasan Lingkungan I Arkora ,0.28,renewable_energy:0.50|green_tourism:0.42|natural_resources:0.41|waste_management:0.40|energy_efficiency:0.37|green_building:0.36|water_management:0.35|climate_resilience:0.35,affordable_housing:0.47|food_security:0.41|basic_infrastructure:0.41|socioeconomic:0.41|employment_msme:0.35|essential_services:0.32,0.505,0.7,20230809_ARKO_Penyampaian Bukti Iklan.pdf
BBNI,GSS,GSS,GSS,green,green,True,berwawasan lingkungan|green bond,Obligasi Berlandaskan Keberlanjutan Berk,0.28,natural_resources:0.65|green_building:0.62|renewable_energy:0.62|green_tourism:0.60|energy_efficiency:0.57|water_management:0.50|waste_management:0.46|climate_resilience:0.42,food_security:0.54|affordable_housing:0.51|basic_infrastructure:0.50|socioeconomic:0.48|employment_msme:0.48|essential_services:0.41,0.647,0.88,20220622_BBNI_Penyampaian Bukti Iklan.pdf
BBNI,GSS,NonGSS,GSS,obligasi_biasa,sustainability,True,berwawasan lingkungan|berwawasan sosial,Obligasi Berlandaskan Keberlanjutan Berk,0.28,,food_security:0.31|essential_services:0.29|basic_infrastructure:0.28,0.312,0.7,20250626_BBNI_Penyampaian Bukti Iklan_31909229_lamp1.pdf
BBRI,GSS,NonGSS,GSS,obligasi_biasa,green,True,berwawasan lingkungan,Obligasi Berwawasan Sosial Berkelanjutan,0.28,,,0.248,0.7,20220721_BBRI_Penyampaian Prospektus_Informasi Tambahan.pdf
BBRI,GSS,NonGSS,GSS,obligasi_biasa,green,True,berwawasan lingkungan|green bond,Obligasi Berwawasan Sosial Berkelanjutan,0.28,renewable_energy:0.56|natural_resources:0.51|energy_efficiency:0.50|climate_resilience:0.49|green_tourism:0.49|green_building:0.49|waste_management:0.45|water_management:0.42,food_security:0.46|basic_infrastructure:0.42|affordable_housing:0.42|socioeconomic:0.40|employment_msme:0.38|essential_services:0.32,0.561,0.7,20230925_BBRI_Penyampaian Prospektus_Informasi Tambahan_31422829_lamp1.pdf
BBRI,GSS,GSS,GSS,green,green,True,berwawasan lingkungan|green bond,Obligasi Berwawasan Sosial Berkelanjutan,0.28,renewable_energy:0.56|natural_resources:0.51|energy_efficiency:0.50|climate_resilience:0.49|green_tourism:0.49|green_building:0.49|waste_management:0.45|water_management:0.42,food_security:0.46|basic_infrastructure:0.42|affordable_housing:0.42|socioeconomic:0.40|employment_msme:0.38|essential_services:0.32,0.561,0.82,20240226_BBRI_Penyampaian Prospektus_Informasi Tambahan_31581036_lamp1.pdf
BBRI,GSS,GSS,GSS,sustainability_linked,sustainability_linked,True,berwawasan sosial|social bond,Obligasi Berwawasan Sosial Berkelanjutan,0.28,,,,0.9,20250620_BBRI_Penyampaian Prospektus_Informasi Tambahan.pdf
BBRI,GSS,GSS,GSS,sustainability_linked,sustainability_linked,True,berwawasan sosial|social bond,Obligasi Berwawasan Sosial Berkelanjutan,0.28,,,,0.9,20260227_BBRI_Penyampaian Prospektus_Informasi Tambahan_32029855_lamp2.pdf
BBTN,GSS,GSS,GSS,social,social,True,berwawasan sosial|pojk no. 18/2023,Obligasi Berwawasan Sosial Berkelanjutan,0.28,renewable_energy:0.61|energy_efficiency:0.55|natural_resources:0.51|green_tourism:0.47|water_management:0.44|waste_management:0.44|green_building:0.42|climate_resilience:0.39|sustainable_transport:0.32,socioeconomic:0.73|employment_msme:0.72|affordable_housing:0.72|food_security:0.67|basic_infrastructure:0.65|essential_services:0.62,0.732,0.83,20251121_BBTN_Penyampaian Prospektus_Informasi Tambahan_31986864_lamp1.pdf
BBTN,GSS,GSS,GSS,social,social,True,berwawasan sosial|pojk no. 18/2023,Obligasi Berwawasan Sosial Berkelanjutan,0.28,renewable_energy:0.60|energy_efficiency:0.56|natural_resources:0.52|green_tourism:0.48|water_management:0.45|waste_management:0.44|green_building:0.43|climate_resilience:0.40|sustainable_transport:0.33,employment_msme:0.74|socioeconomic:0.73|affordable_housing:0.72|food_security:0.67|basic_infrastructure:0.66|essential_services:0.63,0.739,0.83,20251124_BBTN_Penyampaian Bukti Iklan_31987186_lamp1.pdf
BBTN,GSS,GSS,GSS,social,social,True,berwawasan sosial|pojk no. 18/2023,Obligasi Berwawasan Sosial Berkelanjutan,0.28,renewable_energy:0.57|energy_efficiency:0.54|natural_resources:0.51|green_tourism:0.47|water_management:0.44|climate_resilience:0.43|waste_management:0.41|green_building:0.40|sustainable_transport:0.32,socioeconomic:0.79|employment_msme:0.76|affordable_housing:0.75|food_security:0.71|basic_infrastructure:0.69|essential_services:0.68,0.788,0.83,20251205_BBTN_Penyampaian Bukti Iklan_32000649_lamp1.pdf
BJBR,GSS,NonGSS,GSS,obligasi_biasa,sustainability,True,sustainability bond,Obligasi Keberlanjutan Berkelanjutan I B,0.28,,,0.278,0.7,20241204_BJBR_Penyampaian Bukti Iklan_31804995.pdf
BJBR,GSS,NonGSS,GSS,obligasi_biasa,sustainability,True,berwawasan lingkungan|berwawasan sosial,Obligasi Keberlanjutan Berkelanjutan I B,0.28,climate_resilience:0.41|green_tourism:0.33|natural_resources:0.32|water_management:0.31,employment_msme:0.39|food_security:0.38|basic_infrastructure:0.37|essential_services:0.36|socioeconomic:0.30|affordable_housing:0.29,0.406,0.7,20241204_BJBR_Penyampaian Bukti Iklan_31804995_lamp2.pdf
BJBR,GSS,NonGSS,GSS,obligasi_biasa,sustainability,True,sustainability bond,Obligasi Keberlanjutan Berkelanjutan I B,0.28,green_building:0.28,,0.283,0.7,20241204_BJBR_Penyampaian Prospektus_Informasi Tambahan_31804988.pdf
BJBR,GSS,GSS,GSS,sustainability_linked,sustainability_linked,True,berwawasan lingkungan|berwawasan sosial,Obligasi Keberlanjutan Berkelanjutan I B,0.28,,,,0.9,20241204_BJBR_Penyampaian Prospektus_Informasi Tambahan_31804988_lamp2.pdf
BJBR,GSS,NonGSS,GSS,obligasi_biasa,sustainability,True,berwawasan lingkungan|berwawasan sosial,Obligasi Keberlanjutan Berkelanjutan I B,0.28,climate_resilience:0.41|green_tourism:0.33|natural_resources:0.32|water_management:0.31,employment_msme:0.39|food_security:0.38|basic_infrastructure:0.37|essential_services:0.36|socioeconomic:0.30|affordable_housing:0.29,0.406,0.7,20241204_BJBR_Penyampaian Prospektus_Informasi Tambahan_31804988_lamp3.pdf
BMRI,GSS,NonGSS,GSS,obligasi_biasa,green,True,berwawasan lingkungan|green bond,Obligasi Keberlanjutan Berkelanjutan I B,0.28,renewable_energy:0.59|natural_resources:0.57|green_tourism:0.52|energy_efficiency:0.49|waste_management:0.48|climate_resilience:0.47|green_building:0.47|water_management:0.44,affordable_housing:0.50|food_security:0.49|socioeconomic:0.46|basic_infrastructure:0.45|employment_msme:0.42|essential_services:0.36,0.595,0.7,20250304_BMRI_Penyampaian Prospektus_Informasi Tambahan_31866147_lamp1.pdf
BRIS,GSS,GSS,GSS,sustainability,sustainability,True,berwawasan lingkungan|berwawasan sosial,Sukuk Mudharabah Berlandaskan Keberlanju,0.28,renewable_energy:0.53|green_tourism:0.46|natural_resources:0.44|green_building:0.44|energy_efficiency:0.42|climate_resilience:0.40|waste_management:0.36|water_management:0.32,affordable_housing:0.48|employment_msme:0.47|food_security:0.45|socioeconomic:0.41|essential_services:0.39|basic_infrastructure:0.38,0.534,0.9,20250528_BRIS_Penyampaian Prospektus_Informasi Tambahan_31890157_lamp2.pdf
BRIS,GSS,GSS,GSS,sustainability,sustainability,True,berwawasan lingkungan|berwawasan sosial,Sukuk Mudharabah Berlandaskan Keberlanju,0.28,renewable_energy:0.53|green_tourism:0.46|natural_resources:0.44|green_building:0.44|energy_efficiency:0.42|climate_resilience:0.40|waste_management:0.36|water_management:0.32,affordable_housing:0.48|employment_msme:0.47|food_security:0.45|socioeconomic:0.41|essential_services:0.39|basic_infrastructure:0.38,0.534,0.9,20250618_BRIS_Penyampaian Prospektus_Informasi Tambahan_31896250_lamp2.pdf
