Folder,Filename,Detected Type,Confidence,Keywords Found,Has Text
20240103_LUCY_Penyampaian Prospektus,20240103_LUCY_Penyampaian Prospektus_Informasi Tambahan_31564018_lamp1.pdf,prospektus_utama,50,penawaran umum; emiten; perseroan,True
20240109_MORA_Penyampaian Prospektus,20240109_MORA_Penyampaian Prospektus_Informasi Tambahan_31566545_lamp2.pdf,informasi_tambahan,30,informasi tambahan,True
20240109_MORA_Penyampaian Prospektus,20240109_MORA_Penyampaian Prospektus_Informasi Tambahan_31567056_lamp1.pdf,informasi_tambahan,30,informasi tambahan,True
20240109_MORA_Penyampaian Prospektus,20240109_MORA_Penyampaian Prospektus_Informasi Tambahan_31566545_lamp1.pdf,informasi_tambahan,30,informasi tambahan,True
20240111_PYFA_Prospektus Ringkas atas Penawaran Umum Terbatas Kepada Para,20240111_PYFA_Laporan Informasi dan Fakta Material_31567987_lamp1.pdf,prospektus_utama,40,penawaran umum; perseroan,True
20240109_MORA_Penyampaian Prospektus,20240109_MORA_Penyampaian Prospektus_Informasi Tambahan_31567056_lamp2.pdf,informasi_tambahan,30,informasi tambahan,True
20240112_MAYA_Penyampaian Prospektus,20240112_MAYA_Penyampaian Prospektus_Informasi Tambahan_31568335_lamp1.pdf,prospektus_utama,10,perseroan,True
20240112_BCAP_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika,20240112_BCAP_Penyampaian Bukti Iklan_31568361_lamp1.pdf,tidak_teridentifikasi,0,,False
20240112_MORA_Penyampaian Prospektus,20240112_MORA_Penyampaian Prospektus_Informasi Tambahan_31568517_lamp2.pdf,informasi_tambahan,60,informasi tambahan; perbaikan atas,True
20240115_DSSA_Penyampaian Prospektus,20240815_DSSA_Penyampaian Prospektus_Informasi Tambahan_31705903_lamp1.pdf,term_sheet_waran,10,waran,True
20240115_PALM_Prospektus Ringkas terkait Penawaran Umum Terbatas kepada Pa,20240115_PALM_Laporan Informasi dan Fakta Material_31568638_lamp1.pdf,prospektus_utama,50,penawaran umum; emiten; perseroan,True
20240112_MORA_Penyampaian Prospektus,20240112_MORA_Penyampaian Prospektus_Informasi Tambahan_31568517_lamp1.pdf,informasi_tambahan,30,informasi tambahan,True
20240115_DSSA_Penyampaian Prospektus,20240815_DSSA_Penyampaian Prospektus_Informasi Tambahan_31705903_lamp2.pdf,informasi_tambahan,30,informasi tambahan,True
