Folder,Date,Emiten,Total Files,Prospektus,Prospektus Ringkas,Bukti Iklan,Informasi Tambahan,Fakta Material,Laporan,Term Sheet/Waran,Lainnya
20240103_LUCY_Penyampaian Prospektus,20240103,LUCY,1,1,0,0,0,0,0,0,0
20240109_MORA_Penyampaian Prospektus,20240109,MORA,4,4,0,0,0,0,0,0,0
20240111_PYFA_Prospektus Ringkas atas Penawaran Umum Terbatas Kepada Para,20240111,PYFA,1,0,0,0,0,1,0,0,0
20240112_BCAP_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika,20240112,BCAP,1,0,0,1,0,0,0,0,0
20240112_MAYA_Penyampaian Prospektus,20240112,MAYA,1,1,0,0,0,0,0,0,0
20240112_MORA_Penyampaian Prospektus,20240112,MORA,2,2,0,0,0,0,0,0,0
20240115_DSSA_Penyampaian Prospektus,20240115,DSSA,2,2,0,0,0,0,0,0,0
20240115_PALM_Prospektus Ringkas terkait Penawaran Umum Terbatas kepada Pa,20240115,PALM,2,0,0,0,0,2,0,0,0
20240116_UNKNOWN_Penyampaian Perubahan Prospektus dan_atau Term Sheet Structu,20240116,UNKNOWN,1,1,0,0,0,0,0,0,0
20240116_UNKNOWN_Penyampaian Prospektus dan_atau Term Sheet Structured Warran,20240116,UNKNOWN,14,14,0,0,0,0,0,0,0
20240118_MEDC_Penyampaian Prospektus,20240118,MEDC,2,2,0,0,0,0,0,0,0
20240119_OTMA_Penyampaian Prospektus,20240119,OTMA,1,1,0,0,0,0,0,0,0
20240119_TBIG_Penyampaian Prospektus,20240119,TBIG,2,2,0,0,0,0,0,0,0
20240121_FIFA_Penyampaian Prospektus,20240121,FIFA,2,2,0,0,0,0,0,0,0
20240122_BFIN_Penyampaian Bukti Iklan Pemberitahuan atas Prospektus Ringka,20240122,BFIN,4,0,0,4,0,0,0,0,0
20240122_BFIN_Penyampaian Prospektus,20240122,BFIN,1,1,0,0,0,0,0,0,0
20240123_WIKA_Penyampaian Bukti Iklan Keterbukaan Informasi atas Prospektu,20240123,WIKA,1,0,0,1,0,0,0,0,0
20240123_WIKA_Prospektus Ringkas Penawaran Umum Terbatas PT Wijaya Karya (,20240123,WIKA,2,0,0,0,0,2,0,0,0
20240124_FREN_Penyampaian Bukti Iklan Prospektus Ringkas Penambahan Modal,20240124,FREN,2,0,0,2,0,0,0,0,0
20240124_FREN_Prospektus Ringkas Penambahan Modal Dengan Memberikan Hak Me,20240124,FREN,2,0,0,0,0,2,0,0,0
20240125_FREN_Penyampaian Bukti Iklan Prospektus Ringkas Penambahan Modal,20240125,FREN,1,0,0,1,0,0,0,0,0
20240125_FREN_Prospektus Ringkas Penambahan Modal Dengan Memberikan Hak Me,20240125,FREN,1,0,0,0,0,1,0,0,0
20240128_HRTA_Pemberitahuan atas Prospektus Ringkas dalam rangka Penawaran,20240128,HRTA,2,0,0,0,0,2,0,0,0
20240130_HRTA_Penyampaian Bukti Iklan Prospektus Ringkas dalam Rangka Pena,20240130,HRTA,2,0,0,2,0,0,0,0,0
20240221_BTPN_Informasi Tambahan Prospektus Ringkas PMHMETD II Perseroan,20240221,BTPN,2,0,0,0,0,2,0,0,0
20240221_BTPN_Penyampaian Prospektus,20240221,BTPN,2,2,0,0,0,0,0,0,0
20240223_SDRA_Informasi Tambahan Prospektus Ringkas PMHMETD IV Perseroan,20240223,SDRA,2,0,0,0,0,2,0,0,0
20240226_BBRI_Penyampaian Prospektus,20240226,BBRI,1,1,0,0,0,0,0,0,0
20240226_SDRA_Penyampaian Bukti Iklan Penyampaian Bukti Pengumuman Informa,20240226,SDRA,2,0,0,2,0,0,0,0,0
20240229_BTPN_Penyampaian Prospektus,20240229,BTPN,2,2,0,0,0,0,0,0,0
20240229_PNMP_Penyampaian Prospektus,20240229,PNMP,1,1,0,0,0,0,0,0,0
20240305_PALM_Informasi Tambahan dan_atau Perbaikan atas Prospektus Ringka,20240305,PALM,2,0,0,0,0,2,0,0,0
20240306_SDRA_Informasi Tambahan Prospektus Ringkas PMHMETD IV Perseroan,20240306,SDRA,2,0,0,0,0,2,0,0,0
20240306_SDRA_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Penyampaian,20240306,SDRA,2,0,0,2,0,0,0,0,0
20240308_SMFP_Penyampaian Prospektus,20240308,SMFP,4,4,0,0,0,0,0,0,0
20240314_FIFA_Penyampaian Prospektus,20240314,FIFA,2,2,0,0,0,0,0,0,0
20240315_SDRA_Informasi Tambahan Prospektus Ringkas PMHMETD IV Perseroan,20240315,SDRA,2,0,0,0,0,2,0,0,0
20240318_SDRA_Penyampaian Bukti Iklan Penyampaian Bukti Pengumuman Informa,20240318,SDRA,2,0,0,2,0,0,0,0,0
20240318_SMMA_Penyampaian Bukti Iklan Bukti Iklan Prospektus Ringkas Penaw,20240318,SMMA,2,0,0,2,0,0,0,0,0
20240322_FITT_Penyampaian Prospektus,20240322,FITT,1,1,0,0,0,0,0,0,0
20240325_MPMF_Penyampaian Prospektus,20240325,MPMF,1,1,0,0,0,0,0,0,0
20240328_ASDF_Penyampaian Prospektus,20240328,ASDF,1,1,0,0,0,0,0,0,0
