IssuerCode,BondName,BondNameGold,Series,GSSType,IssueDate,MatureDate,Outstanding,Rating,Aktif,Source,PDFFile
ARKO,Obligasi Berwawasan Lingkungan I Arkora Hydro Tahun 2023 Seri A,Obligasi Berwawasan Lingkungan terdiri dari 2 (dua) seri yang masing-masing ditawarkan sebesar 100% (seratus persen) dari jumlah Pokok Obligasi.,,green,2023-08-09,2026-08-08,318060000000.0,idA+,True,IDX + Gold,20230809_ARKO_Penyampaian Bukti Iklan.pdf
BBNI,Obligasi Berlandaskan Keberlanjutan Berkelanjutan I Bank BNI Tahap I Tahun 2025 Seri A,"Obligasi Keberlanjutan ini diterbitkan tanpa warkat, kecuali Sertifikat Jumbo Obligasi",A,sustainability,2025-06-26,2028-07-04,3500000000000.0,idAAA,True,IDX + Gold,20250626_BBNI_Penyampaian Bukti Iklan_31909229_lamp1.pdf
BBNI,Obligasi Berlandaskan Keberlanjutan Berkelanjutan I Bank BNI Tahap I Tahun 2025 Seri B,"Obligasi Keberlanjutan ini diterbitkan tanpa warkat, kecuali Sertifikat Jumbo Obligasi",B,sustainability,2025-06-26,2030-07-04,1500000000000.0,idAAA,True,IDX + Gold,20250626_BBNI_Penyampaian Bukti Iklan_31909229_lamp1.pdf
BBNI,Obligasi Green Bond I PT Bank Negara Indonesia (Persero) Tbk. Tahun 2022 Seri B,Tingkat bunga Green Bond merupakan persentase per tahun dari nilai nominal yang dihitung berdasarkan,B,green,2022-06-22,2027-06-21,1000000000000.0,idAAA,True,IDX + Gold,20220622_BBNI_Penyampaian Bukti Iklan.pdf
BBRI,Obligasi Berwawasan Lingkungan Berkelanjutan I Bank BRI Tahap I Tahun 2022 Seri C,"Obligasi Berwawasan Lingkungan terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Lingkungan Seri A, Obligasi Berwawasan Lingkungan Seri B, dan Obligasi Berwawasan Lingkungan Seri C, yang masing-masing",C,green,2022-07-21,2027-07-20,500000000000.0,idAAA,True,IDX + Gold,20220721_BBRI_Penyampaian Prospektus_Informasi Tambahan.pdf
BBRI,Obligasi Berwawasan Lingkungan Berkelanjutan I Bank BRI Tahap II Tahun 2023 Seri C,"Obligasi Berwawasan Lingkungan terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Lingkungan Seri A, Obligasi Berwawasan Lingkungan Seri B, dan Obligasi Berwawasan Lingkungan Seri C, yang masing-masing ditawarkan sebesar",C,green,2023-09-25,2026-10-17,500000000000.0,idAAA,True,IDX + Gold,20230925_BBRI_Penyampaian Prospektus_Informasi Tambahan_31422829_lamp1.pdf
BBRI,Obligasi Berwawasan Lingkungan Berkelanjutan I Bank BRI Tahap III Tahun 2024 Seri C,"Obligasi Berwawasan Lingkungan terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Lingkungan Seri A, Obligasi Berwawasan Lingkungan Seri B, dan Obligasi Berwawasan Lingkungan Seri C, yang masing-masing ditawarkan sebesar",C,green,2024-02-26,2027-03-20,382905000000.0,idAAA,True,IDX + Gold,20240226_BBRI_Penyampaian Prospektus_Informasi Tambahan_31581036_lamp1.pdf
BBRI,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap I Tahun 2025 Seri A,"Obligasi Berwawasan Sosial terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Sosial Seri A, Obligasi Berwawasan Sosial Seri B, dan Obligasi Berwawasan Sosial Seri C, yang masing-masing ditawarkan sebesar",A,social,2025-06-20,2027-06-26,1563090000000.0,idAAA,True,IDX + Gold,20250620_BBRI_Penyampaian Prospektus_Informasi Tambahan.pdf
BBRI,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap I Tahun 2025 Seri B,"Obligasi Berwawasan Sosial terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Sosial Seri A, Obligasi Berwawasan Sosial Seri B, dan Obligasi Berwawasan Sosial Seri C, yang masing-masing ditawarkan sebesar",B,social,2025-06-20,2028-06-26,2110745000000.0,idAAA,True,IDX + Gold,20250620_BBRI_Penyampaian Prospektus_Informasi Tambahan.pdf
BBRI,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap I Tahun 2025 Seri C,"Obligasi Berwawasan Sosial terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Sosial Seri A, Obligasi Berwawasan Sosial Seri B, dan Obligasi Berwawasan Sosial Seri C, yang masing-masing ditawarkan sebesar",C,social,2025-06-20,2030-06-26,1326165000000.0,idAAA,True,IDX + Gold,20250620_BBRI_Penyampaian Prospektus_Informasi Tambahan.pdf
