Nomor,BondId,BondName,IssuerCode,MatureDate,Rating,Outstanding
23,BBNI01ASLCN1,Obligasi Berlandaskan Keberlanjutan Berkelanjutan I Bank BNI Tahap I Tahun 2025 Seri A,BBNI,2028-07-04T07:00:00,idAAA,3500000000000.0
34,SMPNMP01ASECN1,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap I Tahun 2025 Seri A,PNMP,2026-07-18T07:00:00,idAAA(sy),989995000000.0
35,SMFP02SOCN1,Obligasi Berwawasan Sosial Berkelanjutan II Sarana Multigriya Finansial Tahap I Tahun 2025,SMFP,2030-07-08T07:00:00,idAAA,1650000000000.0
45,SMII02DCN2,Obligasi Berkelanjutan II Sarana Multi Infrastruktur Tahap II Tahun 2019 Seri D,SMII,2026-08-28T07:00:00,idAAA,1292000000000.0
49,SMSMII01DCN3,Sukuk Mudharabah Berkelanjutan I Sarana Multi Infrastruktur Tahap III Tahun 2019 Seri D,SMII,2026-08-28T07:00:00,idAAA(sy),76000000000.0
53,SMII02DCN3,Obligasi Berkelanjutan II Sarana Multi Infrastruktur Tahap III Tahun 2019 Seri D,SMII,2026-10-30T07:00:00,idAAA,945250000000.0
66,BJBR01CCN3,Obligasi Berkelanjutan I Bank BJB Tahap III Tahun 2019 Seri C,BJBR,2026-10-18T07:00:00,idAA,74000000000.0
78,BJBR02BSBCN1,Obligasi Subordinasi Berkelanjutan II Bank BJB Tahap I Tahun 2020 Seri B,BJBR,2027-03-03T07:00:00,idA+,368000000000.0
100,SMII03CCN3,Obligasi Berkelanjutan III Sarana Multi Infrastruktur Tahap III Tahun 2023 Seri C,SMII,2027-05-17T07:00:00,idAAA,1914130000000.0
109,SMII04BCN3,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap III Tahun 2025 Seri B,SMII,2028-03-27T07:00:00,idAAA,1128030000000.0
110,SMII04CCN3,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap III Tahun 2025 Seri C,SMII,2030-03-27T07:00:00,idAAA,1115010000000.0
112,SIISSP02BCN3,Sukuk Ijarah Berkelanjutan II SPINDO Tahap III Tahun 2025 Seri B,ISSP,2028-04-23T07:00:00,idA(sy),155000000.0
113,SIISSP02CCN3,Sukuk Ijarah Berkelanjutan II SPINDO Tahap III Tahun 2025 Seri C,ISSP,2030-04-23T07:00:00,idA(sy),76010000000.0
121,TPR-SMBRIS01X4JP,Sukuk Mudharabah Muqayadah Jangka Panjang Yang Dilakukan Tanpa Melalui Penawaran Umum I PT Bank BSI Tbk Tahun 2025 Tahap IV,BRIS,2038-03-20T07:00:00,,8260381192.0
146,ISSP02CCN3,Obligasi Berkelanjutan II SPINDO Tahap III Tahun 2025 Seri C,ISSP,2030-04-23T07:00:00,idA,40520000000.0
147,ISSP02BCN3,Obligasi Berkelanjutan II SPINDO Tahap III Tahun 2025 Seri B,ISSP,2028-04-23T07:00:00,idA,27665000000.0
156,BBRI02DCN2,Obligasi Berkelanjutan II Bank BRI Tahap II Tahun 2017 Seri D,BBRI,2027-04-11T07:00:00,idAAA,1300500000000.0
159,SMII04CCN4,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap IV Tahun 2025 Seri C,SMII,2030-11-27T07:00:00,idAAA,900000000000.0
160,SMSMII03ACN2,Sukuk Mudharabah Berkelanjutan III Sarana Multi Infrastruktur Tahap II Tahun 2025 Seri A,SMII,2026-12-07T07:00:00,idAAA(sy),1700000000000.0
161,SMSMII03BCN2,Sukuk Mudharabah Berkelanjutan III Sarana Multi Infrastruktur Tahap II Tahun 2025 Seri B,SMII,2028-11-27T07:00:00,idAAA(sy),800000000000.0
162,SMII04DCN4,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap IV Tahun 2025 Seri D,SMII,2035-11-27T07:00:00,idAAA,300000000000.0
163,SMII04ECN4,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap IV Tahun 2025 Seri E,SMII,2040-11-27T07:00:00,idAAA,300000000000.0
172,SMPNMP07X1V,Sukuk Mudharabah Jangka Menengah VII PT Permodalan Nasional Madani Tahun 2025 Tahap I,PNMP,2026-06-27T07:00:00,idAAA(sy),180000000000.0
176,SMPNMP01BSECN1,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap I Tahun 2025 Seri B,PNMP,2028-07-08T07:00:00,idAAA(sy),150000000000.0
198,BJBR02BSBCN2,Obligasi Subordinasi Berkelanjutan II Bank BJB Tahap II Tahun 2020 Seri B,BJBR,2027-11-17T07:00:00,idA+,337420000000.0
214,SMFP06BCN1,Obligasi Berkelanjutan VI Sarana Multigriya Finansial Tahap I Tahun 2021 Seri B,SMFP,2026-07-08T07:00:00,idAAA,1000000000000.0
217,SMPNMP01CCN1,Sukuk Mudharabah Berkelanjutan I PNM Tahap I Tahun 2021 Seri C,PNMP,2026-07-08T07:00:00,idAAA(sy),327000000000.0
221,BJBR03ASBCN1,Obligasi Subordinasi Berkelanjutan III Bank BJB Tahap I Tahun 2021 Seri A,BJBR,2026-07-15T07:00:00,idA+,379000000000.0
223,BJBR03BSBCN1,Obligasi Subordinasi Berkelanjutan III Bank BJB Tahap I Tahun 2021 Seri B,BJBR,2028-07-15T07:00:00,idA+,621000000000.0
