#;Folder;Files;Size (MB);;Emiten  Codes;Unique
1;20240103_LUCY_Penyampaian Prospektus;1;182;;LUCY;LUCY
2;20240109_MORA_Penyampaian Prospektus;4;617;;MORA;MORA
3;20240111_PYFA_Prospektus Ringkas atas Penawaran Umum Terbatas Kepada Para;1;47;;PYFA;PYFA
4;20240112_BCAP_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika;1;947;;BCAP;BCAP
5;20240112_MAYA_Penyampaian Prospektus;1;577;;MAYA;MAYA
6;20240112_MORA_Penyampaian Prospektus;2;8;;MORA;DSSA
7;20240115_DSSA_Penyampaian Prospektus;2;101;;DSSA;PALM
8;20240115_PALM_Prospektus Ringkas terkait Penawaran Umum Terbatas kepada Pa;2;64;;PALM;UNKN
9;20240116_UNKNOWN_Penyampaian Perubahan Prospektus dan_atau Term Sheet Structu;1;8;;UNKN;MEDC
10;20240116_UNKNOWN_Penyampaian Prospektus dan_atau Term Sheet Structured Warran;14;109;;UNKN;OTMA
11;20240118_MEDC_Penyampaian Prospektus;2;196;;MEDC;TBIG
12;20240119_OTMA_Penyampaian Prospektus;1;41;;OTMA;FIFA
13;20240119_TBIG_Penyampaian Prospektus;2;84;;TBIG;BFIN
14;20240121_FIFA_Penyampaian Prospektus;2;57;;FIFA;WIKA
15;20240122_BFIN_Penyampaian Bukti Iklan Pemberitahuan atas Prospektus Ringka;4;77;;BFIN;FREN
16;20240122_BFIN_Penyampaian Prospektus;1;54;;BFIN;HRTA
17;20240123_WIKA_Penyampaian Bukti Iklan Keterbukaan Informasi atas Prospektu;1;54;;WIKA;BTPN
18;20240123_WIKA_Prospektus Ringkas Penawaran Umum Terbatas PT Wijaya Karya (;2;71;;WIKA;SDRA
19;20240124_FREN_Penyampaian Bukti Iklan Prospektus Ringkas Penambahan Modal;2;53;;FREN;BBRI
20;20240124_FREN_Prospektus Ringkas Penambahan Modal Dengan Memberikan Hak Me;2;6;;FREN;PNMP
21;20240125_FREN_Penyampaian Bukti Iklan Prospektus Ringkas Penambahan Modal;1;34;;FREN;SMFP
22;20240125_FREN_Prospektus Ringkas Penambahan Modal Dengan Memberikan Hak Me;1;59;;FREN;SMMA
23;20240128_HRTA_Pemberitahuan atas Prospektus Ringkas dalam rangka Penawaran;2;159;;HRTA;FITT
24;20240130_HRTA_Penyampaian Bukti Iklan Prospektus Ringkas dalam Rangka Pena;2;7;;HRTA;MPMF
25;20240221_BTPN_Informasi Tambahan Prospektus Ringkas PMHMETD II Perseroan;2;75;;BTPN;ASDF
26;20240221_BTPN_Penyampaian Prospektus;2;75;;BTPN;ADMF
27;20240223_SDRA_Informasi Tambahan Prospektus Ringkas PMHMETD IV Perseroan;2;116;;SDRA;BBYB
28;20240226_BBRI_Penyampaian Prospektus;1;41;;BBRI;TUFI
29;20240226_SDRA_Penyampaian Bukti Iklan Penyampaian Bukti Pengumuman Informa;2;8;;SDRA;SMRA
30;20240229_BTPN_Penyampaian Prospektus;2;36;;BTPN;BBIA
31;20240229_PNMP_Penyampaian Prospektus;1;58;;PNMP;SANF
32;20240305_PALM_Informasi Tambahan dan_atau Perbaikan atas Prospektus Ringka;2;51;;PALM;WOMF
33;20240306_SDRA_Informasi Tambahan Prospektus Ringkas PMHMETD IV Perseroan;2;108;;SDRA;IMFI
34;20240306_SDRA_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Penyampaian;2;93;;SDRA;PTPP
35;20240308_SMFP_Penyampaian Prospektus;4;153;;SMFP;INCO
36;20240314_FIFA_Penyampaian Prospektus;2;84;;FIFA;LTLS
37;20240315_SDRA_Informasi Tambahan Prospektus Ringkas PMHMETD IV Perseroan;2;114;;SDRA;BJBR
38;20240318_SDRA_Penyampaian Bukti Iklan Penyampaian Bukti Pengumuman Informa;2;88;;SDRA;TPMA
39;20240318_SMMA_Penyampaian Bukti Iklan Bukti Iklan Prospektus Ringkas Penaw;2;63;;SMMA;TRIM
40;20240322_FITT_Penyampaian Prospektus;1;39;;FITT;BVIC
41;20240325_MPMF_Penyampaian Prospektus;1;31;;MPMF;MTEL
42;20240328_ASDF_Penyampaian Prospektus;1;46;;ASDF;PRTL
43;20240401_DSSA_Penyampaian Bukti Iklan Prospektus Ringkas Obligasi Berkelan;2;10;;DSSA;TAFS
44;20240401_DSSA_Penyampaian Prospektus;2;10;;DSSA;ADHI
45;20240401_SMMA_Penyampaian Bukti Iklan Informasi Tambahan Dan_Atau Perbaika;2;3;;SMMA;BRPT
46;20240401_SMMA_Penyampaian Prospektus;2;841;;SMMA;BIIF
47;20240401_WIKA_Penyampaian Prospektus;2;85;;WIKA;CNAF
48;20240401_WIKA_Penyampaian Prospektus (KOREKSI);2;68;;WIKA;HIFI
49;20240402_WIKA_Penyampaian Prospektus (KOREKSI);2;68;;WIKA;AGRS
50;20240404_PYFA_Informasi Tambahan atas Prospektus Ringkas mengenai Penambah;1;53;;PYFA;APAI
51;20240404_PYFA_Penyampaian Prospektus;1;354;;PYFA;BWPT
52;20240405_ADMF_Penyampaian Prospektus;3;92;;ADMF;MSIE
53;20240416_SDRA_Penyampaian Bukti Iklan Bukti Pengumuman Prospektus PMHMETD;2;89;;SDRA;INKP
54;20240416_SDRA_Penyampaian Prospektus;2;251;;SDRA;LPPI
55;20240416_SDRA_Prospektus PMHMETD IV;3;141;;SDRA;XPFT
56;20240419_ASDF_Penyampaian Prospektus;1;57;;ASDF;XMGB
57;20240419_BBYB_Perubahan dan_atau Tambahan Informasi atas Prospektus Ringka;2;128;;BBYB;GMFI
58;20240419_FREN_Penyampaian Prospektus;1;177;;FREN;KAII
59;20240421_BBYB_Penyampaian Bukti Iklan Prospektus Ringkas PMHMETD VII;1;28;;BBYB;PTRO
60;20240422_FREN_Penyampaian Bukti Iklan Prospektus PMHMETD V;1;43;;FREN;SMII
61;20240426_HRTA_Pemberitahuan atas Prospektus Ringkas dalam rangka Penawaran;2;16;;HRTA;FMFN
62;20240429_HRTA_Penyampaian Bukti Iklan Prospektus Ringkas dalam rangka Pena;2;6;;HRTA;ADRO
63;20240503_HRTA_Informasi Tambahan atas Prospektus Ringkas dalam rangka Pena;2;5;;HRTA;MDKA
64;20240506_HRTA_Penyampaian Bukti Iklan Informasi Tambahan atas Prospektus R;2;49;;HRTA;PIDL
65;20240506_TUFI_Penyampaian Prospektus;1;9;;TUFI;IATA
66;20240509_DSSA_Penyampaian Prospektus;2;106;;DSSA;BBKP
67;20240513_SMRA_Penyampaian Prospektus;2;41;;SMRA;PNBN
68;20240528_SMRA_Penyampaian Prospektus;1;21;;SMRA;XPDV
69;20240529_BBIA_Penyampaian Bukti Iklan Prospektus Ringkas PUB Obligasi Berk;4;1474;;BBIA;XPLQ
70;20240529_DSSA_Penyampaian Prospektus;2;87;;DSSA;XPSG
71;20240530_SANF_Penyampaian Prospektus;1;59;;SANF;PPGD
72;20240530_WOMF_Penyampaian Bukti Iklan Pemberitahuan atas Prospektus Ringka;1;157;;WOMF;MEDP
73;20240530_WOMF_Penyampaian Prospektus;2;96;;WOMF;JSMR
74;20240603_IMFI_Penyampaian Prospektus;2;74;;IMFI;BSDE
75;20240606_BCAP_Penyampaian Prospektus;1;13;;BCAP;XBES
76;20240607_PTPP_Penyampaian Prospektus;1;32;;PTPP;OPPM
77;20240610_INCO_Penyampaian Prospektus;2;462;;INCO;BMRI
78;20240610_INCO_Penyampaian Prospektus (KOREKSI);2;462;;INCO;FASW
79;20240610_LTLS_Penyampaian Bukti Iklan Prospektus Ringkas pada Surat Kabar;3;1698;;LTLS;WIFI
80;20240611_BJBR_Penyampaian Bukti Iklan Prospektus Penawaran Umum Berkelanju;3;22;;BJBR;ISSP
81;20240611_BTPN_Penyampaian Bukti Iklan Prospektus Ringkas pada Surat Kabar;2;126;;BTPN;BEKS
82;20240611_TPMA_Penyampaian Prospektus;2;352;;TPMA;LPCK
83;20240611_TRIM_Penyampaian Prospektus;2;107;;TRIM;IMJS
84;20240612_BVIC_Penyampaian Bukti Iklan Prospektus Ringkas Dalam Rangka Pena;2;138;;BVIC;POST
85;20240619_MTEL_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be;2;86;;MTEL;CARE
86;20240619_MTEL_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber;2;86;;MTEL;DWGL
87;20240619_PRTL_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber;2;102;;PRTL;BMTR
88;20240619_PRTL_Surat Pengantar atas Bukti Pengumuman Prospektus Ringkas Pen;1;329;;PRTL;HATM
89;20240619_TAFS_Penyampaian Prospektus;1;23;;TAFS;BRIS
90;20240620_BBIA_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika;4;1481;;BBIA;NISP
91;20240621_ADHI_Penyampaian Prospektus;1;52;;ADHI;BBNI
92;20240621_BRPT_Penyampaian Prospektus;1;96;;BRPT;SMAR
93;20240622_ADHI_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be;1;28;;ADHI;SGRO
94;20240624_WOMF_Penyampaian Bukti Iklan Laporan Bukti Iklan Penyampaian Info;3;191;;WOMF;BUMI
95;20240624_WOMF_Penyampaian Prospektus;2;107;;WOMF;RMKE
96;20240625_BCAP_Penyampaian Prospektus;1;93;;BCAP;SMDR
97;20240625_PTPP_Penyampaian Prospektus;1;31;;PTPP;DART
98;20240625_WOMF_Penyampaian Prospektus;2;759;;WOMF;FILM
99;20240626_BIIF_Penyampaian Bukti Iklan Penyampaian Informasi Tambahan dan_a;3;791;;BIIF;MINA
100;20240626_TRIM_Penyampaian Prospektus;1;16;;TRIM;TOWR
101;20240628_BCAP_Penyampaian Prospektus;1;21;;BCAP;COCO
102;20240628_CNAF_Penyampaian Prospektus;3;85;;CNAF;BUVA
103;20240628_HIFI_Penyampaian Prospektus;2;1093;;HIFI;CSIS
104;20240701_ADHI_Penyampaian Prospektus;1;36;;ADHI;BANK
105;20240701_AGRS_Penyampaian Bukti Iklan Penyampaian Prospektus PUT VI PT Ban;1;4;;AGRS;INET
106;20240701_PRTL_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber;2;85;;PRTL;CUAN
107;20240701_PRTL_Surat Pengantar Bukti Pengumuman Prospektus Ringkas Penawara;1;79;;PRTL;ARMA
108;20240702_BBYB_Penyampaian Prospektus;2;111;;BBYB;PACK
109;20240702_BTPN_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika;4;246;;BTPN;IIFF
110;20240703_BBYB_Penyampaian Bukti Iklan Publikasi Prospektus PMHMETD VII PT;1;2;;BBYB;WISL
111;20240705_APAI_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Informasi Ta;1;105;;APAI;BALI
112;20240708_BRPT_Penyampaian Prospektus;1;86;;BRPT;BBTN
113;20240712_BWPT_Penyampaian Bukti Iklan Informasi tambahan dan_atau perbaika;1;685;;BWPT;POLI
114;20240712_BWPT_Penyampaian Bukti Iklan bukti iklan prospektus ringkas;3;115;;BWPT;MYOR
115;20240730_MSIE_Permohonan Perubahan Informasi Jadwal Perdagangan Waran dan;1;24;;MSIE;PANI
116;20240909_HRTA_Penyampaian Dokumen Informasi Tambahan serta Perubahan dan_a;2;55;;HRTA;TPIA
117;20240910_INKP_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be;2;155;;INKP;XSPI
118;20240910_INKP_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber;2;203;;INKP;ENRG
119;20240910_LPPI_Penyampaian Bukti Iklan Prospektus Ringkas Obligasi Berkelan;2;93;;LPPI;IRSX
120;20240910_LPPI_Prospektus Ringkas Obligasi Berkelanjutan III Lontar Papyrus;2;119;;LPPI;BABY
121;20240911_HRTA_Penyampaian Bukti Iklan Perubahan dan_atau Tambahan Informas;2;64;;HRTA;
122;20240913_ASDF_Penyampaian Prospektus;1;53;;ASDF;
123;20240913_UNKNOWN_Penyampaian Perubahan Prospektus dan_atau Term Sheet Structu;5;602;;UNKN;
124;20240919_BFIN_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Pemberitahua;4;59;;BFIN;
125;20240919_BFIN_Penyampaian Prospektus;1;357;;BFIN;
126;20240923_HRTA_Penyampaian Dokumen Perubahan dan_atau Tambahan Informasi at;2;67;;HRTA;
127;20240923_XPFT_Penyampaian Prospektus_Perubahan Prospektus;1;121;;XPFT;
128;20240924_ADMF_Penyampaian Prospektus;3;135;;ADMF;
129;20240924_ADMF_Penyampaian Prospektus (KOREKSI);6;27;;ADMF;
130;20240925_HRTA_Penyampaian Bukti Iklan Perubahan dan_atau Tambahan Informas;2;45;;HRTA;
131;20240928_XMGB_Penyampaian Prospektus_Perubahan Prospektus;3;144;;XMGB;
132;20241001_INKP_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Informasi Ta;2;195;;INKP;
133;20241001_LPPI_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika;2;134;;LPPI;
134;20241021_UNKNOWN_Keterbukaan Informasi terkait Prospektus Waran Terstruktur 2;1;264;;UNKN;
135;20241024_TUFI_Penyampaian Prospektus;3;154;;TUFI;
136;20241025_TAFS_Penyampaian Prospektus;1;42;;TAFS;
137;20241029_DSSA_Penyampaian Prospektus;2;112;;DSSA;
138;20241030_GMFI_Penyampaian Prospektus;1;49;;GMFI;
139;20241101_KAII_Penyampaian Bukti Iklan Prospektus Ringkas dalam rangka Pena;1;53;;KAII;
140;20241104_KAII_Penyampaian Prospektus Ringkas PUB II KAI Tahun 2024;1;393;;KAII;
141;20241112_TBIG_Penyampaian Prospektus;2;71;;TBIG;
142;20241113_PTRO_Penyampaian Prospektus;2;812;;PTRO;
143;20241114_KAII_Penyampaian Bukti Publikasi Informasi Tambahan dan_atau Perb;1;41;;KAII;
144;20241119_SMII_Penyampaian Prospektus;2;85;;SMII;
145;20241120_HRTA_Penyampaian Dokumen Perubahan dan_atau Tambahan Informasi at;2;364;;HRTA;
146;20241121_DSSA_Penyampaian Prospektus;2;114;;DSSA;
147;20241121_FMFN_Penyampaian Bukti Iklan Prospektus Ringkas;3;786;;FMFN;
148;20241122_HRTA_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Perubahan da;2;4;;HRTA;
149;20241129_ADRO_Penyampaian Prospektus;1;94;;ADRO;
150;20241129_MDKA_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Pengumuman P;2;357;;MDKA;
151;20241130_BTPN_Penyampaian Prospektus;1;53;;BTPN;
152;20241204_BJBR_Penyampaian Bukti Iklan Prospektus Ringkas dalam rangka Pena;6;68;;BJBR;
153;20241204_BJBR_Penyampaian Prospektus;6;2808;;BJBR;
154;20241204_MEDC_Penyampaian Prospektus;2;192;;MEDC;
155;20241209_PTRO_Penyampaian Prospektus;2;223;;PTRO;
156;20241212_BCAP_Penyampaian Bukti Iklan Prospektus Ringkas - Penawaran Umum;2;119;;BCAP;
157;20241212_FMFN_Informasi Tambahan dan_atau Perbaikan atas Prospektus Ringka;3;193;;FMFN;
158;20241212_PIDL_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be;2;88;;PIDL;
159;20241216_GMFI_Penyampaian Prospektus;2;65;;GMFI;
160;20241218_MDKA_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika;2;796;;MDKA;
161;20241220_SMMA_Penyampaian Prospektus;2;68;;SMMA;
162;20241223_TRIM_Penyampaian Prospektus;2;109;;TRIM;
163;20241231_PIDL_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika;2;124;;PIDL;
164;20250101_SMMA_Penyampaian Prospektus;1;43;;SMMA;
165;20250101_SMMA_Penyampaian Prospektus (KOREKSI);1;43;;SMMA;
166;20250102_BCAP_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika;2;1979;;BCAP;
167;20250106_IATA_Prospektus Ringkas Penawaran Umum Terbatas III PT MNC Energy;1;58;;IATA;
168;20250107_PALM_Penyampaian Prospektus;2;99;;PALM;
169;20250111_BBKP_Penyampaian Prospektus;2;139;;BBKP;
170;20250111_PNBN_Penyampaian Prospektus;2;74;;PNBN;
171;20250112_CNAF_Penyampaian Prospektus;2;109;;CNAF;
172;20250113_BTPN_Penyampaian Prospektus;4;167;;BTPN;
173;20250113_SMMA_Penyampaian Prospektus;2;72;;SMMA;
174;20250113_XPDV_Penyampaian Prospektus_Perubahan Prospektus;1;31;;XPDV;
175;20250113_XPFT_Penyampaian Prospektus_Perubahan Prospektus;1;31;;XPFT;
