R2 Bucket: green-bond-storage
Prefix: prospektus/
Generated: 2026-03-11

| #   | Folder                                                                           | Files | Size (MB) |
|-----|----------------------------------------------------------------------------------|-------|-----------|
|   1 | 20240103_LUCY_Penyampaian Prospektus                                             |     1 |      1.82 |
|   2 | 20240109_MORA_Penyampaian Prospektus                                             |     4 |      6.17 |
|   3 | 20240111_PYFA_Prospektus Ringkas atas Penawaran Umum Terbatas Kepada Para        |     1 |      0.47 |
|   4 | 20240112_BCAP_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     1 |      9.47 |
|   5 | 20240112_MAYA_Penyampaian Prospektus                                             |     1 |      5.77 |
|   6 | 20240112_MORA_Penyampaian Prospektus                                             |     2 |      0.80 |
|   7 | 20240115_DSSA_Penyampaian Prospektus                                             |     2 |      1.01 |
|   8 | 20240115_PALM_Prospektus Ringkas terkait Penawaran Umum Terbatas kepada Pa       |     2 |      0.64 |
|   9 | 20240116_UNKNOWN_Penyampaian Perubahan Prospektus dan_atau Term Sheet Structu     |     1 |      0.08 |
|  10 | 20240116_UNKNOWN_Penyampaian Prospektus dan_atau Term Sheet Structured Warran     |    14 |      1.09 |
|  11 | 20240118_MEDC_Penyampaian Prospektus                                             |     2 |      1.96 |
|  12 | 20240119_OTMA_Penyampaian Prospektus                                             |     1 |      0.41 |
|  13 | 20240119_TBIG_Penyampaian Prospektus                                             |     2 |      0.84 |
|  14 | 20240121_FIFA_Penyampaian Prospektus                                             |     2 |      0.57 |
|  15 | 20240122_BFIN_Penyampaian Bukti Iklan Pemberitahuan atas Prospektus Ringka       |     4 |      0.77 |
|  16 | 20240122_BFIN_Penyampaian Prospektus                                             |     1 |      0.54 |
|  17 | 20240123_WIKA_Penyampaian Bukti Iklan Keterbukaan Informasi atas Prospektu       |     1 |      0.54 |
|  18 | 20240123_WIKA_Prospektus Ringkas Penawaran Umum Terbatas PT Wijaya Karya (       |     2 |      0.71 |
|  19 | 20240124_FREN_Penyampaian Bukti Iklan Prospektus Ringkas Penambahan Modal        |     2 |      0.53 |
|  20 | 20240124_FREN_Prospektus Ringkas Penambahan Modal Dengan Memberikan Hak Me       |     2 |      0.60 |
|  21 | 20240125_FREN_Penyampaian Bukti Iklan Prospektus Ringkas Penambahan Modal        |     1 |      0.34 |
|  22 | 20240125_FREN_Prospektus Ringkas Penambahan Modal Dengan Memberikan Hak Me       |     1 |      0.59 |
|  23 | 20240128_HRTA_Pemberitahuan atas Prospektus Ringkas dalam rangka Penawaran       |     2 |      1.59 |
|  24 | 20240130_HRTA_Penyampaian Bukti Iklan Prospektus Ringkas dalam Rangka Pena       |     2 |      0.70 |
|  25 | 20240221_BTPN_Informasi Tambahan Prospektus Ringkas PMHMETD II Perseroan         |     2 |      0.75 |
|  26 | 20240221_BTPN_Penyampaian Prospektus                                             |     2 |      0.75 |
|  27 | 20240223_SDRA_Informasi Tambahan Prospektus Ringkas PMHMETD IV Perseroan         |     2 |      1.16 |
|  28 | 20240226_BBRI_Penyampaian Prospektus                                             |     1 |      0.41 |
|  29 | 20240226_SDRA_Penyampaian Bukti Iklan Penyampaian Bukti Pengumuman Informa       |     2 |      0.80 |
|  30 | 20240229_BTPN_Penyampaian Prospektus                                             |     2 |      3.60 |
|  31 | 20240229_PNMP_Penyampaian Prospektus                                             |     1 |      0.58 |
|  32 | 20240305_PALM_Informasi Tambahan dan_atau Perbaikan atas Prospektus Ringka       |     2 |      0.51 |
|  33 | 20240306_SDRA_Informasi Tambahan Prospektus Ringkas PMHMETD IV Perseroan         |     2 |      1.08 |
|  34 | 20240306_SDRA_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Penyampaian        |     2 |      0.93 |
|  35 | 20240308_SMFP_Penyampaian Prospektus                                             |     4 |      1.53 |
|  36 | 20240314_FIFA_Penyampaian Prospektus                                             |     2 |      0.84 |
|  37 | 20240315_SDRA_Informasi Tambahan Prospektus Ringkas PMHMETD IV Perseroan         |     2 |      1.14 |
|  38 | 20240318_SDRA_Penyampaian Bukti Iklan Penyampaian Bukti Pengumuman Informa       |     2 |      0.88 |
|  39 | 20240318_SMMA_Penyampaian Bukti Iklan Bukti Iklan Prospektus Ringkas Penaw       |     2 |      0.63 |
|  40 | 20240322_FITT_Penyampaian Prospektus                                             |     1 |      0.39 |
|  41 | 20240325_MPMF_Penyampaian Prospektus                                             |     1 |      0.31 |
|  42 | 20240328_ASDF_Penyampaian Prospektus                                             |     1 |      0.46 |
|  43 | 20240401_DSSA_Penyampaian Bukti Iklan Prospektus Ringkas Obligasi Berkelan       |     2 |      1.00 |
|  44 | 20240401_DSSA_Penyampaian Prospektus                                             |     2 |      1.00 |
|  45 | 20240401_SMMA_Penyampaian Bukti Iklan Informasi Tambahan Dan_Atau Perbaika       |     2 |      0.30 |
|  46 | 20240401_SMMA_Penyampaian Prospektus                                             |     2 |      8.41 |
|  47 | 20240401_WIKA_Penyampaian Prospektus                                             |     2 |      0.85 |
|  48 | 20240401_WIKA_Penyampaian Prospektus (KOREKSI)                                   |     2 |      0.68 |
|  49 | 20240402_WIKA_Penyampaian Prospektus (KOREKSI)                                   |     2 |      0.68 |
|  50 | 20240404_PYFA_Informasi Tambahan atas Prospektus Ringkas mengenai Penambah       |     1 |      0.53 |
|  51 | 20240404_PYFA_Penyampaian Prospektus                                             |     1 |      3.54 |
|  52 | 20240405_ADMF_Penyampaian Prospektus                                             |     3 |      0.92 |
|  53 | 20240416_SDRA_Penyampaian Bukti Iklan Bukti Pengumuman Prospektus PMHMETD        |     2 |      0.89 |
|  54 | 20240416_SDRA_Penyampaian Prospektus                                             |     2 |      2.51 |
|  55 | 20240416_SDRA_Prospektus PMHMETD IV                                              |     3 |      1.41 |
|  56 | 20240419_ASDF_Penyampaian Prospektus                                             |     1 |      0.57 |
|  57 | 20240419_BBYB_Perubahan dan_atau Tambahan Informasi atas Prospektus Ringka       |     2 |      1.28 |
|  58 | 20240419_FREN_Penyampaian Prospektus                                             |     1 |      1.77 |
|  59 | 20240421_BBYB_Penyampaian Bukti Iklan Prospektus Ringkas PMHMETD VII            |     1 |      0.28 |
|  60 | 20240422_FREN_Penyampaian Bukti Iklan Prospektus PMHMETD V                       |     1 |      0.43 |
|  61 | 20240426_HRTA_Pemberitahuan atas Prospektus Ringkas dalam rangka Penawaran       |     2 |      1.60 |
|  62 | 20240429_HRTA_Penyampaian Bukti Iklan Prospektus Ringkas dalam rangka Pena       |     2 |      0.60 |
|  63 | 20240503_HRTA_Informasi Tambahan atas Prospektus Ringkas dalam rangka Pena       |     2 |      0.50 |
|  64 | 20240506_HRTA_Penyampaian Bukti Iklan Informasi Tambahan atas Prospektus R       |     2 |      0.49 |
|  65 | 20240506_TUFI_Penyampaian Prospektus                                             |     1 |      0.09 |
|  66 | 20240509_DSSA_Penyampaian Prospektus                                             |     2 |      1.06 |
|  67 | 20240513_SMRA_Penyampaian Prospektus                                             |     2 |      0.41 |
|  68 | 20240528_SMRA_Penyampaian Prospektus                                             |     1 |      0.21 |
|  69 | 20240529_BBIA_Penyampaian Bukti Iklan Prospektus Ringkas PUB Obligasi Berk       |     4 |     14.74 |
|  70 | 20240529_DSSA_Penyampaian Prospektus                                             |     2 |      0.87 |
|  71 | 20240530_SANF_Penyampaian Prospektus                                             |     1 |      0.59 |
|  72 | 20240530_WOMF_Penyampaian Bukti Iklan Pemberitahuan atas Prospektus Ringka       |     1 |      1.57 |
|  73 | 20240530_WOMF_Penyampaian Prospektus                                             |     2 |      0.96 |
|  74 | 20240603_IMFI_Penyampaian Prospektus                                             |     2 |      0.74 |
|  75 | 20240606_BCAP_Penyampaian Prospektus                                             |     1 |      1.30 |
|  76 | 20240607_PTPP_Penyampaian Prospektus                                             |     1 |      0.32 |
|  77 | 20240610_INCO_Penyampaian Prospektus                                             |     2 |      4.62 |
|  78 | 20240610_INCO_Penyampaian Prospektus (KOREKSI)                                   |     2 |      4.62 |
|  79 | 20240610_LTLS_Penyampaian Bukti Iklan Prospektus Ringkas pada Surat Kabar        |     3 |     16.98 |
|  80 | 20240611_BJBR_Penyampaian Bukti Iklan Prospektus Penawaran Umum Berkelanju       |     3 |      2.20 |
|  81 | 20240611_BTPN_Penyampaian Bukti Iklan Prospektus Ringkas pada Surat Kabar        |     2 |      1.26 |
|  82 | 20240611_TPMA_Penyampaian Prospektus                                             |     2 |      3.52 |
|  83 | 20240611_TRIM_Penyampaian Prospektus                                             |     2 |      1.07 |
|  84 | 20240612_BVIC_Penyampaian Bukti Iklan Prospektus Ringkas Dalam Rangka Pena       |     2 |      1.38 |
|  85 | 20240619_MTEL_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be       |     2 |      0.86 |
|  86 | 20240619_MTEL_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber       |     2 |      0.86 |
|  87 | 20240619_PRTL_Prospektus Ringkas Penawaran Umum Berkelanjutan Obligasi Ber       |     2 |      1.02 |
|  88 | 20240619_PRTL_Surat Pengantar atas Bukti Pengumuman Prospektus Ringkas Pen       |     1 |      3.29 |
|  89 | 20240619_TAFS_Penyampaian Prospektus                                             |     1 |      0.23 |
|  90 | 20240620_BBIA_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     4 |     14.81 |
|  91 | 20240621_ADHI_Penyampaian Prospektus                                             |     1 |      0.52 |
|  92 | 20240621_BRPT_Penyampaian Prospektus                                             |     1 |      0.96 |
|  93 | 20240622_ADHI_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be       |     1 |      0.28 |
|  94 | 20240624_WOMF_Penyampaian Bukti Iklan Laporan Bukti Iklan Penyampaian Info       |     3 |      1.91 |
|  95 | 20240624_WOMF_Penyampaian Prospektus                                             |     2 |      1.07 |
|  96 | 20240625_BCAP_Penyampaian Prospektus                                             |     1 |      0.93 |
|  97 | 20240625_PTPP_Penyampaian Prospektus                                             |     1 |      0.31 |
|  98 | 20240625_WOMF_Penyampaian Prospektus                                             |     2 |      7.59 |
