no,seri,isin,jenis_instrumen,pasar,kategori_gss,tema,tanggal_emisi,mata_uang,nominal,nominal_usd_setara,tenor,kupon_yield,framework_induk,sumber,catatan
1,SNI (Global Green Sukuk seri-1),,Sukuk Negara (SNI),Global,Green,Green,2018-03,USD,1.25 miliar,1.25 miliar,5 tahun,3.75%,Green Bond & Green Sukuk Framework 2018,2024 Green Sukuk Allocation & Impact Report,Sovereign green sukuk pertama di dunia
2,SNI (Global Green Sukuk seri-2),,Sukuk Negara (SNI),Global,Green,Green,2019-02,USD,750 juta,0.75 miliar,5.5 tahun,3.9%,Green Bond & Green Sukuk Framework 2018,2024 Green Sukuk Allocation & Impact Report,
3,SNI (Global Green Sukuk seri-3),,Sukuk Negara (SNI),Global,Green,Green,2020-06,USD,750 juta,0.75 miliar,5 tahun,2.3%,Green Bond & Green Sukuk Framework 2018,2024 Green Sukuk Allocation & Impact Report,
4,SNI (Global Green Sukuk seri-4),,Sukuk Negara (SNI),Global,Green,Green,2021-06,USD,750 juta,0.75 miliar,30 tahun,3.55%,SDG Government Securities Framework 2021,2024 Green Sukuk Allocation & Impact Report,Tenor terpanjang (30thn)
5,SNI 1133 (Global Green Sukuk seri-5),,Sukuk Negara (SNI),Global,Green,Green,2022-05,USD,1.5 miliar,1.5 miliar,10 tahun,4.7%,SDG Government Securities Framework 2021,2024 Green Sukuk Allocation & Impact Report,
6,SNI (Global Green Sukuk seri-6),US71567RAY27,Sukuk Negara (SNI),Global,Green,Green,2023-11,USD,1.0 miliar,1.0 miliar,10 tahun,5.6%,SDG Government Securities Framework 2021,2024 Green Sukuk Allocation & Impact Report,
7,ST-006,,Sukuk Tabungan (ritel),Domestik Ritel,Green,Green,2019-11,IDR,1.46 triliun,,2 tahun,6.75% (floating w/ floor),Green Bond & Green Sukuk Framework 2018,2024 Green Sukuk Allocation & Impact Report,Green retail sukuk pertama; kode seri inferensi dari kalender emisi
8,ST-007,,Sukuk Tabungan (ritel),Domestik Ritel,Green,Green,2020-11,IDR,5.42 triliun,,2 tahun,5.5% (floating w/ floor),SDG Government Securities Framework 2021,2024 Green Sukuk Allocation & Impact Report,Kode seri inferensi dari kalender emisi
9,ST-008,,Sukuk Tabungan (ritel),Domestik Ritel,Green,Green,2021-11,IDR,5 triliun,,2 tahun,4.8% (floating w/ floor),SDG Government Securities Framework 2021,2024 Green Sukuk Allocation & Impact Report,Kode seri inferensi dari kalender emisi
10,ST-009,,Sukuk Tabungan (ritel),Domestik Ritel,Green,Green,2022-11,IDR,10 triliun,,2 tahun,6.15% (floating w/ floor),SDG Government Securities Framework 2021,2024 Green Sukuk Allocation & Impact Report,Kode seri inferensi dari kalender emisi
11,ST-010T4,,Sukuk Tabungan (ritel),Domestik Ritel,Green,Green,2023-05,IDR,3.3 triliun,,4 tahun,6.4% (floating w/ floor),SDG Government Securities Framework 2021,2024 Green Sukuk Allocation & Impact Report,Kode seri eksplisit di laporan
12,ST-011T4,,Sukuk Tabungan (ritel),Domestik Ritel,Green,Green,2023-11,IDR,5.5 triliun,,4 tahun,6.5% (floating w/ floor),SDG Government Securities Framework 2021,2024 Green Sukuk Allocation & Impact Report,Kode seri eksplisit di laporan
