IssuerCode,n_bonds,total_outstanding_triliun,priority_tier,batch,green_name_hint,social_name_hint,sample_bond_names
PPLN,63,21.229,1,1,,,Sukuk Ijarah Berkelanjutan III PLN Tahap III Tahun 2019 Seri | Sukuk Ijarah Berkelanjutan III PLN Tahap III Tahun 2019 Seri
WIKA,27,10.276,1,1,,,Obligasi Berkelanjutan I Wijaya Karya Tahap I Tahun 2020 Ser | Sukuk Mudharabah Berkelanjutan I Wijaya Karya Tahap I Tahun 
WSKT,9,8.402,1,1,,,Obligasi Berkelanjutan IV Waskita Karya Tahap I Tahun 2020 | Obligasi III Waskita Karya Tahun 2021 Seri A
JSMR,12,4.623,1,1,,,Obligasi Berkelanjutan II Jasa Marga Tahap I Tahun 2020 Seri | Obligasi Berkelanjutan II Jasa Marga Tahap I Tahun 2020 Seri
ISAT,14,3.689,1,1,,,Sukuk Ijarah Berkelanjutan III Indosat Tahap II Tahun 2019 S | Obligasi Berkelanjutan III Indosat Tahap II Tahun 2019 Seri 
TLKM,2,2.7,1,1,,,Obligasi Berkelanjutan I Telkom Tahap I Tahun 2015 Seri C | Obligasi Berkelanjutan I Telkom Tahap I Tahun 2015 Seri D
ADHI,3,2.567,1,1,,,Obligasi Berkelanjutan IV Adhi Karya Tahap I Tahun 2024 | Obligasi Berkelanjutan III Adhi Karya Tahap III Tahun 2022 S
PTPP,7,2.525,1,1,,,Sukuk Mudharabah Berkelanjutan I PTPP Tahap I Tahun 2021 Ser | Obligasi Berkelanjutan III PTPP Tahap I Tahun 2021 Seri B
EXCL,11,2.171,1,1,,,Sukuk Ijarah Berkelanjutan II XL Axiata Tahap I Tahun 2018 S | Obligasi Berkelanjutan I XL Axiata Tahap I Tahun 2018 Seri E
TELE,3,0.841,1,1,,,Obligasi Berkelanjutan II Tiphone Tahap II Tahun 2019 | Obligasi Berkelanjutan I Tiphone Tahap III Tahun 2017 Seri B
PTPN,1,0.445,1,1,,,MTN II PTPN V Tahun 2021
PLTM,3,0.216,1,1,,,Sukuk Ijarah II Polytama Propindo Tahun 2021 Seri B | Obligasi II Polytama Propindo Tahun 2021 Seri B
ADMF,34,11.76,2,2,,,Obligasi Berkelanjutan VI Adira Finance Tahap V Tahun 2025 S | Obligasi Berkelanjutan VII Adira Finance Tahap I Tahun 2025 
PNBN,7,9.922,2,2,,,Obligasi Subordinasi Berkelanjutan IV Bank Panin Tahap I Tah | Obligasi Berkelanjutan IV Bank Panin Tahap I Tahun 2024
TBIG,18,9.652,2,2,Ya,,Obligasi Berkelanjutan VII Tower Bersama Infrastructure Taha | Sukuk Ijarah Berkelanjutan I Tower Bersama Infrastructure Ta
MEDC,14,7.766,2,2,Ya,,Obligasi Berkelanjutan VI Medco Energi Internasional Tahap I | Obligasi Berkelanjutan IV Medco Energi Internasional Tahap I
IMFI,12,5.738,2,2,,,Obligasi Berkelanjutan VI Indomobil Finance Dengan Tingkat B | Obligasi Berkelanjutan VI Indomobil Finance Dengan Tingkat B
BVIC,9,3.66,2,2,,,Obligasi Berkelanjutan IV Bank Victoria Tahap I Tahun 2025 | Obligasi Subordinasi Berkelanjutan II Bank Victoria Tahap I 
BSDE,14,3.14,2,2,,,Sukuk Ijarah Berkelanjutan II Bumi Serpong Damai Tahap I Tah | Obligasi Berkelanjutan IV Bumi Serpong Damai Tahap I Tahun 2
WOMF,5,3.12,2,2,,,Obligasi Berkelanjutan V WOM Finance Tahap II Tahun 2025 Ser | Obligasi Berkelanjutan V WOM Finance Tahap II Tahun 2025 Ser
SMRA,7,3.0,2,2,,,Obligasi Berkelanjutan IVSummarecon Agung Tahap ITahun 2022 | Obligasi Berkelanjutan IV Summarecon Agung Tahap III Tahun 2
BTPN,6,2.568,2,2,,,Obligasi Berkelanjutan V Bank BTPN Tahap I Tahun 2024 Seri B | Obligasi Berkelanjutan V Bank BTPN Tahap I Tahun 2024 Seri A
ENRG,8,2.15,2,2,Ya,,Obligasi Berkelanjutan I Energi Mega Persada Tahap II Tahun  | Obligasi Berkelanjutan I Energi Mega Persada Tahap II Tahun 
BJTM,2,2.0,2,2,,,Obligasi Berkelanjutan I Bank Jatim Tahap I Tahun 2025 Seri  | Obligasi Berkelanjutan I Bank Jatim Tahap I Tahun 2025 Seri 
TOBA,9,1.632,2,2,Ya,,Sukuk Wakalah Jangka Panjang Yang Dilakukan Tanpa Melalui Pe | Obligasi I TBS Energi Utama Tahun 2023 Seri B
NISP,3,1.5,2,2,,,Obligasi Berkelanjutan IV OCBC Tahap I Tahun 2025 Seri B | Obligasi Berkelanjutan IV OCBC Tahap I Tahun 2025 Seri C
BFIN,5,1.5,2,2,,,Obligasi Berkelanjutan VI BFI Finance Indonesia Tahap II Tah | Obligasi Berkelanjutan VI BFI Finance Indonesia Tahap II Tah
RMKE,4,1.0,2,2,Ya,,Obligasi Berkelanjutan I RMK Energy Tahap I Tahun 2025 Seri  | Obligasi Berkelanjutan I RMK Energy Tahap II Tahun 2026 Seri
RATU,4,0.8,2,2,Ya,,Sukuk Wakalah I Raharja Energi Cepu Tahun 2026 Seri B | Sukuk Wakalah I Raharja Energi Cepu Tahun 2026 Seri A
EMIN,2,0.8,2,2,Ya,,Obligasi Energi Mitra Investama I Tahun 2022 Seri B | Obligasi Energi Mitra Investama I Tahun 2022 Seri A
BCAP,10,0.569,2,2,,,Obligasi Berkelanjutan V MNC Kapital Indonesia Tahap II Tahu | Obligasi Berkelanjutan V MNC Kapital Indonesia Tahap II Tahu
BSIM,1,0.5,2,2,,,Obligasi Subordinasi Berkelanjutan I Bank Sinarmas Tahap I T
SGER,6,0.46,2,2,Ya,,Obligasi Berkelanjutan I Sumber Global Energy Tahap II Tahun | Obligasi Berkelanjutan I Sumber Global Energy Tahap II Tahun
BNII,2,0.4,2,2,,,Obligasi Berkelanjutan II Bank Maybank Indonesia Tahap I Tah | Obligasi Berkelanjutan IV Bank Maybank Indonesia Tahap I Tah
IATA,4,0.4,2,2,Ya,,Sukuk Wakalah Berkelanjutan I MNC Energy Investments Tahap I | Sukuk Wakalah Berkelanjutan I MNC Energy Investments Tahap I
BJBS,2,0.3,2,2,,,Sukuk Wakalah Bi Al-Istitsmar Subordinasi I Bank BJB Syariah | Sukuk Wakalah Bi Al-Istitsmar Subordinasi I Bank BJB Syariah
DART,2,0.3,2,2,,,Obligasi Berkelanjutan IV Duta Anggada Realty Tahap I Tahun  | Obligasi Berkelanjutan IV Duta Anggada Realty Tahap I Tahun 
PACK,1,0.181,2,3,Ya,,Obligasi Wajib Konversi Abadi Nusantara Hijau Investama I Ta
BBCA,1,0.065,2,3,,,Obligasi Subordinasi Berkelanjutan I Bank Central Asia Tahap
MEGA,1,0.05,2,3,,,MTN Subordinasi PT Bank Mega Tbk Tahun 2025
AGRO,1,0.0,2,3,,,Obligasi untuk skenario When Issued
PRAS,1,100.0,3,4,,,X
DNTR-M,6,68.382,3,4,,,Surat Utang Jangka Panjang Yang Ditawarkan Tanpa Melalui Pen | Surat Utang Jangka Panjang Yang Ditawarkan Tanpa Melalui Pen
INKP,89,36.563,3,4,,,Obligasi Berkelanjutan V Indah Kiat Pulp & Paper Tahap IV Ta | Obligasi Berkelanjutan V Indah Kiat Pulp & Paper Tahap IV Ta
MBMA,24,18.494,3,4,,,Sukuk Mudharabah Berkelanjutan I Merdeka Battery Materials T | Sukuk Mudharabah Berkelanjutan I Merdeka Battery Materials T
LPPI,32,16.012,3,4,,,Obligasi Berkelanjutan I Lontar Papyrus Pulp & Paper Industr | Obligasi Berkelanjutan II Lontar Papyrus Pulp & Paper Indust
TPIA,25,12.376,3,4,,,Obligasi Berkelanjutan III Chandra Asri Petrochemical Tahap  | Obligasi Berkelanjutan III Chandra Asri Petrochemical Tahap 
MDKA,8,10.92,3,4,,,Obligasi Berkelanjutan V Merdeka Copper Gold Tahap II Tahun  | Obligasi Berkelanjutan III Merdeka Copper Gold Tahap III Tah
